GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ecj,ec.eda.amalgam,AMALGAMDefaults,8,0,0,0,2,0,2,0,2,0
ecj,ec.eda.amalgam,AMALGAMBreeder,98,0,8,0,17,0,7,0,3,0
ecj,ec.eda.amalgam,AMALGAMSpecies,1749,0,152,0,277,0,92,0,16,0
ecj,ec.eda.amalgam,AMALGAMSpecies.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
ecj,ec.es,ESSelection,106,0,8,0,19,0,9,0,5,0
ecj,ec.es,MuCommaLambdaBreeder,1286,0,86,0,145,0,49,0,6,0
ecj,ec.es,MuCommaLambdaBreeder.new Comparator() {...},28,0,4,0,6,0,4,0,2,0
ecj,ec.es,MuLambdaBreederThread,17,0,0,0,3,0,2,0,2,0
ecj,ec.es,MuPlusLambdaBreeder,45,0,4,0,6,0,5,0,3,0
ecj,ec.es,ESDefaults,8,0,0,0,2,0,2,0,2,0
ecj,ec.app.lid.func,LidJ,8,0,0,0,4,0,4,0,4,0
ecj,ec.app.lid.func,LidX,8,0,0,0,4,0,4,0,4,0
ecj,ec.app.experiments.Evaluations,KurtosisEvaluation,124,0,6,0,18,0,11,0,8,0
ecj,ec.app.experiments.Evaluations,SkewEvaluation,124,0,6,0,18,0,11,0,8,0
ecj,ec.app.experiments.Evaluations,MeanGreenMeanBlueEvaluation,40,0,0,0,10,0,5,0,5,0
ecj,ec.app.experiments.Evaluations,WaveletDMEExpEL,55,0,0,0,12,0,5,0,5,0
ecj,ec.app.experiments.Evaluations,MeanRedMeanGreenEvaluation,40,0,0,0,10,0,5,0,5,0
ecj,ec.app.experiments.Evaluations,EvaluationFunctions,1238,0,80,0,162,0,62,0,22,0
ecj,ec.app.experiments.Evaluations,MeanRedMeanGreenMeanBlueEvaluation,168,0,4,0,23,0,8,0,6,0
ecj,ec.app.experiments.Evaluations,MeanRedMeanBlueEvaluation,37,0,0,0,9,0,5,0,5,0
ecj,ec.app.edge.func,Bud,192,0,4,0,35,0,6,0,4,0
ecj,ec.app.edge.func,One,20,0,0,0,7,0,4,0,4,0
ecj,ec.app.edge.func,BLoop,134,0,2,0,24,0,5,0,4,0
ecj,ec.app.edge.func,BStart,34,0,0,0,8,0,4,0,4,0
ecj,ec.app.edge.func,Loop,134,0,2,0,24,0,5,0,4,0
ecj,ec.app.edge.func,Zero,20,0,0,0,7,0,4,0,4,0
ecj,ec.app.edge.func,Epsilon,20,0,0,0,7,0,4,0,4,0
ecj,ec.app.edge.func,Double,134,0,2,0,24,0,5,0,4,0
ecj,ec.app.edge.func,Reverse,44,0,0,0,10,0,4,0,4,0
ecj,ec.app.edge.func,BAccept,34,0,0,0,8,0,4,0,4,0
ecj,ec.app.edge.func,Start,34,0,0,0,8,0,4,0,4,0
